"","Player Name","Position","BPM_Pred","Percentile","GP","MPG","PPG","REBPG","ASTPG","STLPG","BLKPG","TOPG","FG.","FT.","X3P.","TMIN","FGM","FGA","FTM","FTA","X3PM","X3PA","PTS","OR","DR","TREB","AST","TO","STL","BLK","Institution"
"128","KAYLA WHITE","G",4.46374953994321,0.69,29,23.3,13.2,3.4,0.6,0.9,0.2,1.2,39.3,73.1,25.6,677,147,374,79,108,11,43,384,34,64,98,18,36,26,7,"Southern Methodist University"
"129","NATALIA OTKHMEZURI","G",4.46027506083853,0.69,25,16.5,6.8,1.7,0.4,0.4,0,0.8,39.9,87,38.7,412,57,143,20,23,36,93,170,9,34,43,11,21,9,1,"Southern Utah University"
"130","J'MANI INGRAM","G",4.39894044601873,0.68,29,27.8,10.9,5.6,1.6,1.3,0.1,2.2,42.3,50.9,0,806,129,305,57,112,0,1,315,40,121,161,46,64,38,4,"Winthrop University"
"131","DEONDRA YOUNG","F",4.38686108683395,0.68,9,4.8,2.6,1.4,0.1,0,0.4,0.2,64.7,50,0,43,11,17,1,2,0,0,23,3,10,13,1,2,0,4,"Sam Houston State University"
"132","MELANIE ISBELL","G",4.38571658764418,0.68,26,26.1,4.8,1.7,2.3,1,0.1,1.6,30.7,65.2,32.5,679,43,140,15,23,25,77,126,8,36,44,60,41,27,3,"New Mexico State University"
"133","KAMRYN MRAZ","G",4.38070948889619,0.68,28,27.2,7.5,3,3.1,0.9,0.1,2.2,39.7,67.7,39.1,761,69,174,21,31,52,133,211,23,61,84,86,62,25,3,"Abilene Christian University"
"134","DAEJA HOLMES","G",4.36422641554568,0.68,28,16.9,6.4,1.4,1.6,1.2,0.3,1.4,33.9,70.8,33.1,473,60,177,17,24,43,130,180,10,30,40,44,39,33,7,"Georgia Southern University"
"135","EMMA RANDALL","G",4.3618000939184,0.68,12,4.3,1.2,0.8,0,0,0,0.2,28.6,0,28.6,52,6,21,0,2,2,7,14,4,5,9,0,2,0,0,"Youngstown State University"
"136","MAHOGANY VAUGHT","G",4.36164974391834,0.68,26,30,8.4,4,3.3,1.6,0.3,2.9,36,38.6,34.2,781,85,236,22,57,26,76,218,17,86,103,86,76,42,7,"University of South Alabama"
"137","TERAH HARNESS","G",4.3286046450362,0.67,30,29.9,8.2,2.9,0.9,0.8,0.1,1.8,37,100,34.9,896,87,235,12,12,60,172,246,8,79,87,28,53,24,4,"University of South Carolina Upstate"
"138","NINA DAVY","G",4.32648351806882,0.67,20,13,1,1.6,0.4,0.4,0.4,0.7,36.4,25,20,260,8,22,2,8,2,10,20,10,22,32,8,13,7,7,"Central Connecticut State University"
"139","TAYLOR WILLIAMS","F",4.31120146130626,0.67,28,24.1,11.9,8.6,0.9,1.6,1,2.3,42.8,54.1,21.1,674,130,304,66,122,8,38,334,47,195,242,26,63,45,29,"Bethune-Cookman University"
"140","TAYLOR WILLIAMS","F",4.31120146130626,0.67,27,23.7,8.1,3.3,1.7,1.1,0.3,3.6,41,58.5,33.3,639,77,188,62,106,3,9,219,23,67,90,46,98,31,8,"Bethune-Cookman University"
"141","AMAYA BROWN","G",4.3027939838132,0.67,10,5.5,1.1,1.3,0.5,0.2,0.2,0.4,41.7,50,0,55,5,12,1,2,0,1,11,1,12,13,5,4,2,2,"Florida State University"
"142","ASHIA MCCALLA","G",4.23857409867256,0.66,26,24.6,8.8,3.4,1.4,1.4,0.2,1.9,37.2,75.8,30,639,86,231,25,33,33,110,230,35,53,88,37,50,36,4,"Morgan State University"
"143","HOPE LEMELLE","G",4.21459479479228,0.65,12,10.8,2.3,0.9,0.4,0.4,0.1,0.3,42.3,50,33.3,129,11,26,3,6,3,9,28,6,5,11,5,4,5,1,"Lamar University"
"144","SHYLA LATONE","G",4.19212684392778,0.65,25,26.4,10.8,3.1,1.8,1,0.1,2.2,33.8,83.7,30.8,660,92,272,36,43,49,159,269,18,59,77,44,56,26,3,"Utah State University"
"145","ALMA DANIELSSON","F",4.16830782356691,0.65,21,6.6,1.6,0.7,0.3,0.1,0.1,0.2,28.9,100,25,138,11,38,3,3,8,32,33,4,11,15,7,5,2,2,"Florida International University"
"146","JULIA FABOZZI","G",4.16199572566275,0.65,15,6.7,1.9,0.5,0.1,0,0.1,0.3,22.9,100,17.4,100,8,35,8,8,4,23,28,2,6,8,2,4,0,1,"Providence College"
"147","TRINASIA KENNEDY","G",4.1428473921581,0.64,20,32.1,10.6,4.3,2.1,1.8,0.4,2.4,32.6,62,27.4,641,76,233,31,50,29,106,212,14,71,85,42,47,35,7,"Marist College"
"148","SYDNEY SHAFER","G",4.14137448442322,0.64,25,21.8,8,2.4,1.2,1,0.1,1.7,36.7,68.4,35,544,69,188,26,38,35,100,199,8,53,61,31,43,25,3,"Western Michigan University"
"149","MARLY WALLS","G",4.13864571868896,0.64,34,32.8,7.6,4.4,3.4,1.6,0.1,2.4,39,62.9,31.7,1115,97,249,44,70,19,60,257,26,123,149,116,83,55,5,"Bucknell University"
"150","DE'MYLA BROWN","G",4.13724932648873,0.64,27,21.1,8.1,2,1.4,1.1,0,1.4,28.8,82.9,27,569,68,236,58,70,24,89,218,7,46,53,39,38,30,1,"University of Illinois Urbana-Champaign"
"151","NENA TAYLOR","G",4.10967103924622,0.64,17,7.1,1.7,1.4,0.1,0.8,0.1,0.6,22.7,66.7,23.8,121,10,44,4,6,5,21,29,6,18,24,2,11,13,1,"Oral Roberts University"
"152","LENAEJHA EVANS","G",4.10872870920444,0.64,30,33.5,14,3.3,1.4,1.5,0.2,1.8,44.5,74.2,25.6,1006,159,357,92,124,10,39,420,27,73,100,42,54,44,7,"Rider University"
"153","SAJADA BONNER","G",4.10866741125442,0.64,33,23.9,6.3,2.8,0.6,0.8,0.3,1.3,39.2,76.3,34.5,788,69,176,29,38,41,119,208,21,70,91,21,44,26,11,"Quinnipiac University"
"154","AJA HOLMES","G",4.1010305274171,0.64,26,17.9,4.7,0.9,0.2,0.1,0.1,0.2,33.3,65.2,31.9,466,38,114,15,23,30,94,121,3,21,24,4,6,2,2,"Texas Christian University"
"155","PAIGE EMBORSKY","G",4.09665069398564,0.64,20,8,2.5,0.8,0.6,0.4,0,0.4,32.6,100,31.7,159,15,46,6,6,13,41,49,7,9,16,12,7,8,0,"Abilene Christian University"
"156","SHAYLEY HARRIS","F",4.0894175488622,0.63,27,10.4,2.9,2.6,0.4,0.1,0.8,0.4,61.7,42.9,0,282,37,60,3,7,0,0,77,33,36,69,10,11,3,22,"Santa Clara University"
"157","SYDNEY PALMA","G",4.08732391654619,0.63,31,24.4,5.4,2.9,2.4,0.5,0.3,1.5,33.5,82.6,25.5,756,53,158,38,46,24,94,168,6,85,91,73,47,17,9,"California Baptist University"
"158","TIFFANY HAMMOND","G",4.0682589067965,0.63,9,7.9,1.4,0.8,0.3,0.2,0,1,27.8,100,11.1,71,5,18,2,2,1,9,13,0,7,7,3,9,2,0,"Sacred Heart University"
"159","SHANELL HASKINS","G",4.02847258664382,0.63,6,13.7,3.3,1.8,0.5,0.7,0,0.8,23.3,100,25,82,7,30,2,2,4,16,20,3,8,11,3,5,4,0,"Lafayette College"
"160","HANNAH PURCELL","F",4.01840372006298,0.62,22,7,1.3,1,0.5,0.1,0,0.5,28.9,0,24,155,11,38,0,2,6,25,28,9,12,21,10,11,2,0,"DePaul University"
"161","JADA PEEBLES","G",3.99945356969321,0.62,27,27,7,1.5,1.8,0.7,0.2,1.7,34.7,70.6,37.3,729,67,193,24,34,31,83,189,3,38,41,49,46,19,5,"University of Illinois Urbana-Champaign"
"162","ELLA FIORE","G",3.98125314814223,0.62,17,7.4,1.1,2.4,0.2,0.3,0.1,0.8,27.6,0,22.2,126,8,29,0,2,2,9,18,11,29,40,4,13,5,1,"University of New Hampshire"
"163","ANZHANE' HUTTON","F",3.9779630294213,0.62,26,26,10.2,7.2,1.3,0.9,1,2.3,45.7,63.6,20,675,91,199,82,129,2,10,266,62,126,188,34,59,23,26,"Howard University"
"164","BRYCE NIXON","G",3.97563860509872,0.62,31,22.6,5.3,1.5,2.5,1,0.1,1.8,33.9,88.9,30.3,700,65,192,8,9,27,89,165,4,41,45,76,57,30,3,"Santa Clara University"
"165","VICTORIA DAVIS","G",3.94290972547863,0.61,14,22.2,5.9,2.3,2.4,1.3,0.1,1.5,38.5,61.5,40,311,30,78,8,13,14,35,82,3,29,32,34,21,18,2,"Hampton University"
"166","KENEDY LILLY","C",3.93479424761676,0.61,8,5.4,2.6,1.5,0.3,0,0,0.1,76.9,50,0,43,10,13,1,2,0,0,21,2,10,12,2,1,0,0,"University of California, Davis"
"167","CARLY FAHEY","G",3.89952832523184,0.61,28,10.9,0.5,0.6,0.9,0.4,0,0.7,12.5,50,10.7,305,4,32,2,4,3,28,13,2,16,18,24,20,10,1,"University of North Carolina Asheville"
"168","AMARI CONN","G",3.89799780649857,0.61,9,23.1,5.8,1.9,1,0.6,0.2,1.2,37.5,0,38.5,208,21,56,0,0,10,26,52,7,10,17,9,11,5,2,"University of Arkansas at Little Rock"
"169","KARI NIBLACK","F",3.85699109517228,0.6,27,19.5,7.6,4,0.6,0.7,1.7,1.6,44.3,71.1,0,526,70,158,64,90,0,1,204,42,66,108,17,44,20,45,"West Virginia University"
"170","FRUZSINA HORVATH","F",3.8418244054353,0.6,18,25.4,11.7,5.4,1.1,0.7,0.3,2,43.2,66.7,40,458,82,190,18,27,28,70,210,29,68,97,19,36,13,6,"St. Francis College Brooklyn"
"171","MEGAN JENSEN","C",3.8413394667069,0.6,31,17.3,6.3,4.4,1.3,0.5,0.7,1.5,53.7,69.2,0,536,88,164,18,26,0,10,194,48,87,135,39,46,16,23,"Utah Valley University"
"172","TIONNA CARTER","F",3.8218870138909,0.59,26,25.5,10.4,5.9,0.5,0.7,0.6,2.1,44.5,67.9,20.8,664,97,218,72,106,5,24,271,56,97,153,12,55,18,16,"Presbyterian College"
"173","ZARIA HARLEAUX","F",3.81982063257798,0.59,13,5.4,1.2,1.5,0,0.2,0.3,0.2,60,66.7,0,70,6,10,4,6,0,0,16,10,10,20,0,3,2,4,"Southern University, Baton Rouge"
"174","RITA IGBOKWE","C",3.81157946360584,0.59,30,22,6.1,7.4,0.3,0.7,2.3,1.5,44.9,53.2,0,660,75,167,33,62,0,0,183,87,136,223,9,46,22,68,"University of Pittsburgh"
"175","HANNAH ROBERTS","C",3.80887640025306,0.59,20,10.5,5.1,1.3,0.5,0.8,0.1,0.9,45.2,75,45.9,209,38,84,9,12,17,37,102,6,19,25,9,18,16,2,"University of South Carolina Upstate"
"176","KADIATOU SISSOKO","F",3.79710516680435,0.59,33,24.6,10.8,5.7,1.4,0.7,0.3,2.7,41.5,72.2,21.4,813,136,328,78,108,6,28,356,70,119,189,46,90,24,10,"University of Minnesota, Twin Cities"
"177","NYKALE CRAMER","G",3.79606456286542,0.59,22,6,3.3,0.6,0.5,0.3,0,0.3,46.9,72.2,37.8,132,23,49,13,18,14,37,73,3,10,13,10,7,6,1,"Abilene Christian University"
"178","EMILY MCATEER","F",3.78964328120661,0.59,16,8.4,1.8,1.6,0.1,0.3,0.1,0.3,28.9,66.7,21.4,134,11,38,4,6,3,14,29,8,17,25,2,5,4,1,"Loyola University Maryland"
"179","CRYSTAL SMITH","G",3.7846771612331,0.59,7,6.9,1.6,0.9,1.1,1.1,0.1,1,40,42.9,0,48,4,10,3,7,0,0,11,0,6,6,8,7,8,1,"Tarleton State University"
"180","JORDAN SWEENEY","G",3.76323451276739,0.59,25,9.2,1.7,1.1,0.8,0.4,0,0.5,51.7,87.5,50,231,15,29,7,8,6,12,43,7,21,28,21,12,9,0,"Idaho State University"
"181","NICOLE AVILA-AMBROSI","G",3.75655897423875,0.58,23,15.1,5.3,1.4,0.8,1.1,0.2,0.9,37.3,52,32.4,348,44,118,13,25,22,68,123,18,14,32,18,20,25,4,"California Baptist University"
"182","JAYLA JOHNSON","F",3.74758701039331,0.58,30,22.6,12.7,4.1,0.7,0.9,0.5,2.9,37.1,71.3,27,677,135,364,92,129,20,74,382,40,82,122,21,86,27,14,"The University of North Carolina at Greensboro"
"183","RYLIE STEPHENS","G",3.74470325231617,0.58,14,5.1,1.3,0.7,0.1,0.1,0.4,0.3,25,83.3,11.1,71,6,24,5,6,1,9,18,3,7,10,2,4,2,5,"University of Evansville"
"184","BRAYLYN DOLLAR","F",3.73877706141043,0.58,23,6.3,1.3,1.7,0.2,0.3,0.1,0.6,34.4,83.3,50,144,11,32,5,6,2,4,29,9,30,39,5,14,6,3,"Sam Houston State University"
"185","NATALIE BARTLE","G",3.73270551451571,0.58,19,16.3,6.4,3,0.5,1.2,0.1,1.1,35,84.2,20.8,309,42,120,32,38,5,24,121,8,49,57,9,20,22,1,"University of Nebraska Omaha"
"186","RANDRIA ANDERSON","G",3.73061558821105,0.58,10,5.6,2.3,0.7,0.7,0.2,0.1,0.7,37.5,80,9.1,56,9,24,4,5,1,11,23,1,6,7,7,7,2,1,"Campbell University"
"187","OLIVIA SKIBIEL","G",3.72876440112322,0.58,28,18.8,4.6,3,0.6,0.5,0,1,31.5,93.3,26,526,45,143,14,15,25,96,129,16,67,83,18,29,13,1,"North Dakota State University"
"188","JANAE GONZALES","G",3.72325336702358,0.58,30,12.5,3.9,1.7,0.2,0.2,0,0.8,33.6,71.4,33,374,38,113,10,14,32,97,118,1,49,50,6,24,7,1,"Loyola University Chicago"
"189","DENISE SOLIS","F",3.71947349201938,0.58,26,24.8,9.2,4.5,1.2,0.8,0.6,2.5,50,65.1,0,646,91,182,56,86,0,0,238,48,68,116,30,64,21,15,"University of Massachusetts Lowell"
"190","KRISTINA DONZA","G",3.71610704636121,0.58,29,20.3,3.8,1.9,0.6,0.3,0.2,0.6,31.3,66.7,26.1,590,41,131,6,9,23,88,111,19,36,55,18,17,9,6,"U.S. Naval Academy"
"191","JADA WRIGHT","C",3.64697125789766,0.57,21,20.4,7,8.1,0.7,1,2.2,1.8,37.8,68.4,50,429,59,156,26,38,4,8,148,47,124,171,15,37,20,47,"Wright State University"
"192","SHALEXXUS AARON","G",3.63972225947843,0.57,16,29.3,12,4.3,2.1,0.8,0.4,2.8,37.2,85.7,32.3,469,68,183,24,28,32,99,192,19,49,68,34,45,13,6,"Texas Southern University"
"193","CLAIRE GALLAGHER","G",3.61636575337027,0.56,25,23.5,6.8,2.9,0.8,0.3,0.1,1.5,37.9,78.6,36.5,588,61,161,11,14,38,104,171,10,62,72,20,37,8,2,"Lafayette College"
"194","JAZMYN GAINES-BURNS","G",3.61527547740231,0.56,22,14.3,0.6,1.7,0.4,0.1,0.2,0.5,15.2,50,5.9,314,5,33,3,6,1,17,14,28,10,38,8,11,3,5,"Morehead State University"
"195","JALA JORDAN","F",3.6100441608707,0.56,28,16.4,6.4,3.9,0.5,0.3,0.9,1.4,38.5,57.9,32.1,459,70,182,22,38,18,56,180,28,80,108,13,38,8,25,"Auburn University"
"196","JILLIAN ARCHER","F",3.60158877610103,0.56,22,26.1,8,6.9,1.1,0.8,0.8,1.8,54.5,67.9,33.3,575,67,123,36,53,5,15,175,45,106,151,25,39,17,17,"Georgetown University"
"197","RACHEL HAKES","G",3.58745501779821,0.56,32,35.7,7.3,5.1,5.8,1.5,0.3,2.3,47,84,42.4,1141,71,151,68,81,25,59,235,36,128,164,187,75,48,8,"Fairfield University"
"198","ANJA KNOFLACH","G",3.56874324415042,0.56,23,18.4,4.7,3,0.3,0.4,0.1,0.7,33.1,87.5,33.3,424,39,118,7,8,23,69,108,17,51,68,8,16,9,2,"Siena College"
"199","SHANICE SIMPSON-WHITELEY","F",3.55763235388081,0.55,28,12,3.6,3.5,0.1,0.6,0.5,0.8,54.9,69.7,25,335,39,71,23,33,1,4,102,39,58,97,4,22,17,13,"University of Tennessee at Martin"
"200","DERIN ERDOGAN","G",3.53302563082388,0.55,13,5.2,1.1,0.2,0.4,0,0,0.5,35.3,33.3,16.7,68,6,17,1,3,1,6,14,1,1,2,5,6,0,0,"University of Arizona"
"201","KLARKE SCONIERS","C",3.52366373075804,0.55,11,7.4,1,1.5,0.1,0.1,0.5,0.3,33.3,75,0,81,4,12,3,4,0,0,11,6,11,17,1,3,1,5,"University of Minnesota, Twin Cities"
"202","JODI MULLINS","G",3.51741228552711,0.55,17,4.6,1.5,0.2,0.1,0.2,0,0.2,34.6,50,28.6,78,9,26,3,6,4,14,25,2,2,4,1,4,4,0,"Kennesaw State University"
"203","DIAMOND STOKES","F",3.51099674010252,0.55,22,17.7,5.4,4.1,0.1,0.7,0.5,0.7,51,54.5,0,389,50,98,18,33,0,1,118,27,64,91,2,15,16,12,"Wright State University"
"204","KYREN WHITTINGTON","G",3.4854699138749,0.54,26,26.8,15.8,3.3,1.5,1.1,0.3,3.7,42.9,74.4,27.8,698,154,359,87,117,15,54,410,34,51,85,40,95,28,9,"University of Louisiana Monroe"
"205","DANIELLE GRIM","G",3.48102692112558,0.54,27,23.3,4.1,2.3,1.4,0.7,0.2,1.3,29.2,45.5,28,628,42,144,5,11,23,82,112,14,48,62,37,34,19,5,"Long Island University"
"206","NATALIE MCNEAL","G",3.47296264617085,0.54,27,33.7,9.4,5.3,1.9,0.9,0.3,2.1,38.8,69.7,29.6,910,104,268,23,33,24,81,255,36,107,143,51,56,25,8,"Saint Louis University"
"207","JANAIA FARGO","G",3.4484137562768,0.54,29,27.3,8.2,1.8,1.3,0.8,0,2.8,37.4,69.4,31.6,792,79,211,43,62,36,114,237,12,39,51,39,82,22,1,"Charleston Southern University"
"208","MARIYA TASER","G",3.43755738871498,0.54,7,3.6,0.4,0.7,0.4,0.1,0,1,100,0,100,25,1,1,0,0,1,1,3,1,4,5,3,7,1,0,"The University of Texas Rio Grande Valley"
"209","CAMILLE GRAY","G",3.42197895612677,0.53,22,10,0.9,1.9,0.1,0.9,0,0.6,38.1,30,0,219,8,21,3,10,0,0,19,19,23,42,2,13,20,1,"Long Island University"
"210","LINDA VAN SCHAIK","G",3.41438470197474,0.53,29,17.1,4.7,4,0.8,0.8,0.3,1,35.3,76.9,27.7,495,42,119,30,39,23,83,137,34,81,115,24,28,22,8,"University of Louisiana Monroe"
"211","PAULLA WEEKES","F",3.39793460664996,0.53,10,7.8,0.9,1.5,0.6,0.5,0.1,0.7,60,60,0,78,3,5,3,5,0,0,9,2,13,15,6,7,5,1,"Iona College"
"212","JAKAYLA BROWN","G",3.39435311067778,0.53,8,31,13,3.8,2,1,0.1,1,28,67.6,28.1,248,35,125,25,37,9,32,104,14,16,30,16,8,8,1,"Hofstra University"
"213","VERONICA CHARLES","G",3.389336842604,0.53,21,8.8,1.2,2.2,0.7,0.5,0,0.7,22.7,60,10.5,184,10,44,3,5,2,19,25,23,24,47,14,14,11,0,"Stony Brook University"
"214","TAYLOR WU","G",3.38708152695145,0.53,13,9.2,1.6,0.6,0.5,0.6,0,0.8,16.7,75,10.7,119,6,36,6,8,3,28,21,1,7,8,6,10,8,0,"California Baptist University"
"215","SHAMARRE HALE","F",3.33830134905901,0.52,3,11,5.3,2.7,0,0.7,0.3,1,77.8,100,0,33,7,9,2,2,0,0,16,2,6,8,0,3,2,1,"Wright State University"
"216","TOVA SABEL","G",3.33516121251032,0.52,26,16.3,5.3,2.7,0.7,0.7,0.1,1.1,41.3,63.6,29.8,424,50,121,21,33,17,57,138,28,41,69,18,28,19,2,"Pennsylvania State University"
"217","CHRISTINA KLINE","G",3.33359541933581,0.52,26,8.8,2.7,1.5,0.2,0.4,0.2,0.6,38.1,100,43.5,228,24,63,2,2,20,46,70,8,30,38,6,16,10,6,"La Salle University"
"218","PAULA MAURINA","F",3.32910828869016,0.52,25,25.7,13,3.9,0.8,0.5,0.8,3.4,47.9,69.1,22.9,642,124,259,67,97,11,48,326,28,69,97,21,84,12,21,"University of Hartford"
"219","TENIN MAGASSA","C",3.29507560515632,0.51,31,18.1,5.9,6.2,1,0.6,2.1,2,52.1,54.2,0,562,75,144,32,59,0,0,182,62,131,193,31,61,18,65,"University of Dayton"
"220","MORGAN BAIRD","F",3.29375469265292,0.51,27,8.9,1.6,1.4,0.4,0.3,0.1,0.1,34.9,52.4,25,241,15,43,11,21,1,4,42,16,23,39,10,4,8,3,"Portland State University"
"221","AJA BLOUNT","F",3.27286033581179,0.51,26,31.1,19.7,9.5,1.7,1.1,0.2,3,47,77.3,29.9,809,185,394,119,154,23,77,512,83,164,247,44,77,28,5,"Coastal Carolina University"
"222","ISABELA HERNANDEZ","F",3.26431717999947,0.51,31,12.6,2.3,1.2,0.3,0.1,0.1,0.4,33.3,71.4,30.4,392,25,75,5,7,17,56,72,2,35,37,10,12,3,2,"San Diego State University"
"223","EMMA NOLAN","F",3.24452039079409,0.51,28,12.1,2.6,2.9,0.4,0.5,0.4,0.5,42.6,65.2,22.2,338,26,61,15,23,6,27,73,32,49,81,11,13,13,11,"St. John's University (New York)"
"224","ELISE HARDEN","F",3.20266347049772,0.5,24,17.5,7,4.7,0.3,1,0.7,2,50.7,44.7,0,421,74,146,21,47,0,0,169,41,72,113,8,47,24,17,"Tennessee State University"
"225","JORDAN PEETE","G",3.19263372813224,0.5,30,28.3,7.5,1.3,0.9,0.9,0.2,1.9,42,59.1,31.9,848,84,200,26,44,30,94,224,5,33,38,26,56,28,5,"Lipscomb University"
"226","SYDNEY BEVINGTON","G",3.18562944333038,0.5,10,5.6,0.5,1.2,0.6,0.1,0,0.3,12.5,75,0,56,1,8,3,4,0,1,5,1,11,12,6,3,1,0,"Santa Clara University"
"227","OLIVIA MASON","F",3.16333911757747,0.5,29,22.7,6.9,5.7,0.9,1.8,0.2,1.4,46.3,48.6,100,658,82,177,34,70,1,1,199,74,91,165,26,41,51,5,"Niagara University"
"228","KYANNA MORGAN","G",3.16146919734489,0.5,28,20,7,2.9,1.7,1,0.1,2.1,39.7,59.4,39.2,560,73,184,19,32,31,79,196,11,69,80,47,58,28,4,"Radford University"
"229","CHARISSE FAIRLEY","F",3.14014610956677,0.49,13,5.9,2.2,0.5,0,0,0.1,0.5,40.9,100,40,77,9,22,4,4,6,15,28,1,5,6,0,7,0,1,"California State University, Fresno"
"230","GIONNA CARR","G",3.13438104514427,0.49,14,5.3,0.3,0.9,0.2,0.3,0,0.3,22.2,0,0,74,2,9,0,3,0,2,4,6,6,12,3,4,4,0,"Tennessee State University"
"231","HAYLEY BERFIELD","G",3.09530225874728,0.48,14,8.2,1.9,0.6,0.1,0.5,0,0.4,29,66.7,23.8,115,9,31,2,3,5,21,27,4,4,8,1,5,7,0,"High Point University"
"232","SYDNEY THURWALKER","G",3.09353663179103,0.48,7,5.9,0.7,1.9,0,0,0,0.1,22.2,50,0,41,2,9,1,2,0,2,5,7,6,13,0,1,0,0,"University of Evansville"
"233","HANNAH GIDDEY","F",3.0757290912279,0.48,8,3.6,0.9,0.5,0.4,0,0.1,0,60,50,0,29,3,5,1,2,0,0,7,0,4,4,3,0,0,1,"Oral Roberts University"
"234","SYDNEY WATKINS","G",3.07425628699982,0.48,29,9.8,3.2,0.6,0.3,0.2,0,0.4,32.7,0,36.1,285,32,98,0,0,30,83,94,0,16,16,8,12,5,0,"Manhattan College"
"235","SYDNEY WATKINS","G",3.07425628699982,0.48,15,5.2,0.3,0.7,0.2,0.6,0,0.3,20,50,0,78,2,10,1,2,0,0,5,4,6,10,3,5,9,0,"Manhattan College"
"236","KEMERY MARTIN","G",3.07396516943958,0.48,6,10.8,2.8,1.3,0.8,0,0,0.8,31.8,100,9.1,65,7,22,2,2,1,11,17,2,6,8,5,5,0,0,"University of Utah"
"237","DIABA KONATE","G",3.03942778845416,0.47,21,26.9,10,2.8,3.2,1.9,0,2.3,39.9,83.9,22.7,564,77,193,47,56,10,44,211,19,39,58,67,49,39,0,"Idaho State University"
"238","ALEXIS JOHNSON","F",3.02747363952737,0.47,27,12.6,3.6,3.5,0.6,0.5,0.1,0.7,34.2,46.2,23.5,339,40,117,6,13,12,51,98,19,75,94,17,19,14,3,"Marshall University"
"239","REBEKAH GORDON","F",3.0253364191651,0.47,28,9.1,1.3,1.3,0.3,0.2,0.1,0.3,31,53.8,25,255,13,42,7,13,4,16,37,10,27,37,8,8,5,2,"Central Michigan University"
"240","JADA RYCE","G",3.01541630996574,0.47,20,4.7,1.4,0.6,0.4,0.1,0,0.3,44,40,57.1,93,11,25,2,5,4,7,28,6,5,11,8,6,1,0,"East Tennessee State University"
"241","MYKAYLYN DAVIS","G",2.99676789976577,0.47,18,14.4,2.3,1.8,1.7,1.3,0.1,1.6,43.6,31.8,20,259,17,39,7,22,1,5,42,3,30,33,31,29,24,2,"Western Carolina University"
"242","JANEEN CAMP","C",2.98134942405709,0.46,26,16,6.8,6.7,0.4,0.7,1.9,1.8,55.8,47.8,0,417,77,138,22,46,0,0,176,70,104,174,11,47,17,49,"Coastal Carolina University"
"243","KAYLEN EVANS","G",2.94886952436292,0.46,19,5.7,0.7,0.7,0.3,0.2,0,0.5,21.1,41.7,9.1,108,4,19,5,12,1,11,14,3,10,13,5,10,3,0,"Loyola University Chicago"
"244","HALEE SMITH","G",2.92030688637099,0.46,24,4.8,1.4,0.5,0.3,0,0,0.5,56,100,44.4,115,14,25,2,2,4,9,34,7,6,13,6,11,1,0,"Quinnipiac University"
"245","ZAKIYA MAHONEY","G",2.91609887613224,0.46,22,25.8,13.6,5.4,1.2,1.6,0,2.3,39.6,64.3,29.6,568,105,265,74,115,16,54,300,63,56,119,27,51,36,0,"Mississippi Valley State University"
"246","ALISSA PILI","F",2.90536057815895,0.45,19,19.2,7.8,4.5,0.8,0.8,0.3,1.5,33.1,82.2,22.4,364,50,151,37,45,11,49,148,34,52,86,15,29,16,6,"University of Southern California"
"247","TATUM HAYES","G",2.89449004239039,0.45,27,28.5,5.7,2.3,1.9,1,0.2,2.2,26,100,24.4,769,53,204,17,17,30,123,153,16,45,61,50,60,26,6,"Bethune-Cookman University"
"248","SARA ZABRECKY","G",2.87673386562433,0.45,22,7.6,2.1,0.6,0.3,0.1,0,0.3,41,100,37.9,167,16,39,4,4,11,29,47,2,12,14,7,7,2,0,"St. John's University (New York)"
"249","LAFAEDRIA GREEN","F",2.86147894916841,0.45,13,6.9,1.6,2.2,0.5,0.3,0.1,0.5,40,16.7,0,90,10,25,1,6,0,0,21,12,17,29,6,7,4,1,"University of Louisiana at Lafayette"
"250","KOI LOVE","F",2.85370586640053,0.45,28,14.4,4.7,3.4,1,1.3,0.1,1.5,44.7,86.4,16.7,402,55,123,19,22,2,12,131,28,68,96,28,41,35,4,"University of Arizona"
"251","KIYA DORROH","F",2.83736149226313,0.44,26,9,1.1,1,0.2,0.3,0,0.5,29.7,66.7,30,235,11,37,4,6,3,10,29,8,19,27,5,14,7,1,"University of Missouri, Columbia"
"252","JAELYN BATTS","G",2.83596693146885,0.44,23,13.7,2.7,2.7,1.6,0.7,0.5,1.5,39,75,0,316,23,59,15,20,0,0,61,23,40,63,36,34,15,12,"Boston College"
"253","TAYLOR WILKINS","G",2.83471737467666,0.44,17,9.5,3.9,2.2,0.7,0.3,0.1,0.5,40.3,88.9,29,161,25,62,8,9,9,31,67,13,24,37,12,9,5,1,"McNeese State University"
"254","KYLEE BLACKSTEN","G",2.8104415783985,0.44,24,6.1,2,1,0.1,0.5,0.2,0.3,37,50,30,146,17,46,7,14,6,20,47,14,11,25,2,8,11,4,"University of Colorado, Boulder"
"255","TREASURE HUNT","G",2.80232345041089,0.44,30,23.9,6.9,4.6,1.4,0.5,0.7,1.7,35.4,53.2,25.8,718,74,209,42,79,17,66,207,57,82,139,42,50,16,21,"University of Kentucky"
"256","TRINITEE JACKSON","F",2.79942184173029,0.44,26,21,11.6,8.3,0.5,0.7,0,2.1,51.4,62.1,0,546,112,218,77,124,0,0,301,98,119,217,14,55,19,1,"Arkansas State University"
